Feature,Importance_Mean,Importance_Std
Present_Price,1.3148592530176053,0.22811058919342417
Car_Age,0.20347568669914587,0.0589930796817238
Driven_kms,0.046401869413228186,0.013385434950383942
Transmission,0.011825049803557516,0.0044925201574240155
Fuel_Type,0.004140757162825595,0.0014899597726551184
Brand,0.0022237537303494426,0.00226766037558415
Selling_type,0.0014457108552274334,0.0004022346108849473
Owner,-4.4905339335876704e-08,7.378796121394519e-08
