Model,CV_MAE,CV_RMSE,CV_R2_Mean,CV_R2_Std,Test_MAE,Test_RMSE,Test_R2
Random Forest,0.6767288534278966,1.4874925540510564,0.9003784489854885,0.07927369102311124,1.3648322222222222,3.2917778274226106,0.5795719931888064
Extra Trees,0.6711154846335698,1.5085022952652924,0.8994390495636791,0.09290891943216155,0.8157288888888893,1.7318213529884274,0.8836311378510442
Gradient Boosting,0.7033722189129803,1.5540108524189935,0.8900370472977215,0.10350037938179514,1.1498341296374057,2.610618210772095,0.7355659759462432
Ridge Regression,1.088037647000187,1.7237024066031303,0.8752524853173267,0.03511025732400145,1.345228152461023,2.4037440204772977,0.7758147468426224
Lasso Regression,1.0815228865836253,1.8163802982033304,0.8626180838913768,0.06332873306190227,1.4388912645954937,2.509762275913142,0.7556030498861075
Linear Regression,1.1068888283593619,1.9167550053780253,0.8464664433905174,0.08496733726522464,1.4737658916534757,2.793935534366945,0.6971250397837588
